var,run,key,median_rmsd,mean_rmsd,std_rmsd,ccc,inversion_ratio,wd_N-CA,wd_CA-C,wd_C-N,wd_CA-CB
10.0,3.0,test_trans,1.703,1.699,0.259,0.966,0.053,0.12,0.131,0.134,0.132
10.0,3.0,train_closed,0.93,0.941,0.096,0.941,0.082,0.096,0.11,0.112,0.106
10.0,3.0,train_open,1.004,1.022,0.122,0.901,0.02,0.098,0.112,0.114,0.106
10.0,4.0,test_trans,1.701,1.703,0.296,0.971,0.179,0.119,0.116,0.124,0.127
10.0,4.0,train_closed,0.927,0.935,0.091,0.948,0.47,0.093,0.094,0.099,0.1
10.0,4.0,train_open,1.019,1.034,0.114,0.897,0.183,0.101,0.096,0.104,0.106
10.0,5.0,test_trans,1.679,1.681,0.281,0.97,0.048,0.114,0.121,0.123,0.118
10.0,5.0,train_closed,0.907,0.918,0.089,0.944,0.113,0.089,0.102,0.104,0.094
10.0,5.0,train_open,0.995,1.01,0.11,0.903,0.177,0.091,0.108,0.107,0.095
11.0,1.0,test_trans,1.687,1.694,0.298,0.971,0.009,0.125,0.132,0.132,0.125
11.0,1.0,train_closed,0.904,0.914,0.087,0.932,0.207,0.099,0.1,0.104,0.097
11.0,1.0,train_open,1.0,1.018,0.133,0.904,0.153,0.102,0.107,0.114,0.104
11.0,2.0,test_trans,1.631,1.634,0.285,0.974,0.179,0.11,0.114,0.113,0.115
11.0,2.0,train_closed,0.865,0.873,0.08,0.949,0.823,0.084,0.084,0.087,0.085
11.0,2.0,train_open,0.97,0.98,0.111,0.913,0.596,0.092,0.089,0.089,0.097
11.0,3.0,test_trans,1.685,1.703,0.308,0.967,0.161,0.102,0.099,0.1,0.104
11.0,3.0,train_closed,0.871,0.881,0.087,0.949,0.745,0.079,0.082,0.079,0.086
11.0,3.0,train_open,0.971,0.984,0.115,0.906,0.567,0.088,0.083,0.084,0.092
11.0,4.0,test_trans,1.731,1.733,0.289,0.971,0.004,0.142,0.155,0.143,0.141
11.0,4.0,train_closed,0.972,0.98,0.093,0.94,0.002,0.119,0.129,0.118,0.116
11.0,4.0,train_open,1.066,1.082,0.117,0.885,0.083,0.124,0.133,0.126,0.129
11.0,5.0,test_trans,1.622,1.636,0.257,0.973,0.016,0.132,0.13,0.136,0.142
11.0,5.0,train_closed,0.939,0.949,0.09,0.946,0.239,0.112,0.115,0.113,0.121
11.0,5.0,train_open,1.02,1.038,0.13,0.894,0.279,0.116,0.113,0.115,0.123
12.0,1.0,test_trans,1.63,1.643,0.29,0.966,0.116,0.105,0.115,0.115,0.112
12.0,1.0,train_closed,0.897,0.908,0.087,0.947,0.722,0.081,0.092,0.09,0.088
12.0,1.0,train_open,0.985,1.0,0.109,0.904,0.507,0.086,0.097,0.098,0.097
12.0,2.0,test_trans,1.663,1.69,0.327,0.954,0.003,0.067,0.074,0.074,0.07
12.0,2.0,train_closed,0.943,0.953,0.093,0.91,0.0,0.054,0.06,0.063,0.06
12.0,2.0,train_open,1.041,1.059,0.12,0.858,0.407,0.06,0.064,0.064,0.064
12.0,3.0,test_trans,1.674,1.677,0.296,0.964,0.086,0.121,0.127,0.132,0.122
12.0,3.0,train_closed,0.913,0.924,0.09,0.946,0.643,0.096,0.097,0.103,0.093
12.0,3.0,train_open,1.013,1.027,0.116,0.89,0.422,0.102,0.108,0.115,0.104
12.0,4.0,test_trans,1.689,1.708,0.311,0.962,0.006,0.063,0.065,0.068,0.063
12.0,4.0,train_closed,0.913,0.922,0.092,0.924,0.0,0.052,0.053,0.056,0.053
12.0,4.0,train_open,1.004,1.019,0.112,0.88,0.045,0.054,0.056,0.057,0.055
12.0,5.0,test_trans,1.672,1.666,0.295,0.968,0.064,0.114,0.122,0.122,0.12
12.0,5.0,train_closed,0.901,0.912,0.091,0.949,0.716,0.09,0.094,0.096,0.091
12.0,5.0,train_open,0.994,1.009,0.112,0.897,0.277,0.092,0.105,0.103,0.103
13.0,1.0,test_trans,1.726,1.744,0.351,0.965,0.236,0.119,0.12,0.132,0.125
13.0,1.0,train_closed,0.903,0.913,0.084,0.942,0.646,0.097,0.097,0.102,0.1
13.0,1.0,train_open,0.986,1.004,0.12,0.902,0.353,0.101,0.105,0.11,0.104
13.0,2.0,test_trans,2.054,2.127,0.476,0.93,0.0,0.272,0.275,0.282,0.281
13.0,2.0,train_closed,1.299,1.318,0.165,0.847,0.0,0.247,0.24,0.249,0.257
13.0,2.0,train_open,1.341,1.39,0.227,0.694,0.0,0.257,0.271,0.268,0.265
13.0,3.0,test_trans,1.697,1.715,0.344,0.971,0.223,0.099,0.111,0.114,0.112
13.0,3.0,train_closed,0.879,0.888,0.084,0.948,0.766,0.079,0.084,0.087,0.09
13.0,3.0,train_open,0.971,0.988,0.116,0.905,0.575,0.086,0.089,0.093,0.092
13.0,4.0,test_trans,2.059,2.137,0.481,0.926,0.0,0.264,0.271,0.277,0.28
13.0,4.0,train_closed,1.311,1.33,0.162,0.843,0.0,0.238,0.238,0.247,0.255
13.0,4.0,train_open,1.345,1.393,0.221,0.686,0.0,0.255,0.262,0.25,0.27
13.0,5.0,test_trans,2.046,2.099,0.465,0.931,0.0,0.266,0.269,0.282,0.282
13.0,5.0,train_closed,1.298,1.32,0.165,0.843,0.0,0.237,0.228,0.248,0.257
13.0,5.0,train_open,1.318,1.37,0.226,0.685,0.0,0.249,0.264,0.258,0.256
